tiempo,recuperados
0,0
1,0
2,6
3,48
4,149
5,244
6,376
7,516
8,639
9,754
10,857
11,956
12,1062
13,1172
14,1267
15,1350
16,1436
17,1516
18,1594
19,1675
20,1748
21,1814
22,1884
23,1958
24,2014
25,2066
26,2098
27,2141
28,2190
29,2236
30,2286
31,2331
32,2381
33,2423
34,2458
35,2487
36,2518
37,2550
38,2574
39,2599
40,2630
41,2650
42,2665
43,2693
44,2723
45,2740
46,2762
47,2776
48,2798
49,2812
50,2824
51,2836
52,2849
53,2861
54,2874
55,2887
56,2896
57,2905
58,2918
59,2926
60,2934
61,2942
62,2954
63,2966
64,2972
65,2979
66,2988
67,2996
68,3003
69,3011
70,3017
71,3022
72,3025
73,3031
74,3038
75,3041
76,3045
77,3053
78,3062
79,3067
80,3071
81,3076
82,3079
83,3081
84,3084
85,3085
86,3091
87,3094
88,3098
89,3102
90,3103
91,3104
92,3106
93,3109
94,3109
95,3114
96,3115
97,3117
98,3118
99,3119
100,3119
101,3121
102,3122
103,3127
104,3128
105,3129
106,3132
107,3133
108,3135
109,3135
110,3137
111,3138
112,3139
113,3141
114,3141
115,3143
116,3143
117,3144
118,3144
119,3144
